Census year,Census year,2001,2006,2011,Random_Column_1,Dummy_Col_2,Unused_3
"Language,top responses(other than English)",Armenian,n/c,1.4%,1.3%,TUnTHLt,GxFVIV,
Religious affiliation,Religious affiliation,,,,SfS9bRt,nHfwlT,
"Religious affiliation,top responses",No religion,18.6%,22.0%,27.6%,BiCroNDZ,TVsaLvHj,
"Religious affiliation,top responses",Catholic,26.1%,25.5%,25.0%,ZjzChMt,fjvDN,
"Religious affiliation,top responses",Anglican,19.5%,17.6%,15.6%,pCSyjr,uxKVf,
"Religious affiliation,top responses",Buddhism,3.7%,4.4%,4.6%,9GHcR5i,OdlyzCr,
"Religious affiliation,top responses",Presbyterian and Reformed,n/c,n/c,3.1%,wNzVvnF,eAAaQGpr,
Median weekly incomes,Median weekly incomes,,,,E3K0Id,yKCBXk,
Personal income,Median weekly personal income,,A$728,A$858,nGXTiVf,vfQadsd,
Personal income,% of Australian median income,,156.2%,148.7%,aXMSY,plkAGuNz,
Family income,Median weekly family income,,"A$1,667","A$2,479",GOBea,GgNvJ,
Family income,% of Australian median income,,162.3%,167.4%,kSkxHfG,SsAtDzm,
Household income,Median weekly household income,,"A$2,066","A$1,996",gqHFP,ZeNXEb,
Household income,% of Australian median income,,176.4%,161.8%,4XznF,KItHa,
