Census year,Census year,2001,2006,2011
Population,Estimated residents on Census night,"58,319","63,605","67,356"
Population,LGA rank in terms of size within New South Wales,,19,
Population,% of New South Wales population,,,0.97%
Population,% of Australian population,0.31%,0.32%,0.31%
Cultural and language diversity,Cultural and language diversity,,,
"Ancestry,top responses",English,,,20.5%
"Ancestry,top responses",Australian,,,18.3%
"Ancestry,top responses",Chinese,,,14.5%
"Ancestry,top responses",Irish,,,7.4%
"Ancestry,top responses",Scottish,,,5.6%
"Language,top responses(other than English)",Cantonese,6.7%,7.6%,7.5%
"Language,top responses(other than English)",Mandarin,3.6%,5.5%,7.2%
"Language,top responses(other than English)",Korean,1.7%,2.7%,3.6%
"Language,top responses(other than English)",Japanese,2.4%,2.4%,2.3%
