Stage,Date,Route,Terrain,Length,Winner,Unused_1
11,13 July,Le Bourg-d'Oisans – Saint-Étienne,Hilly stage,199.0 km (123.7 mi),Maximilian Sciandri (GBR),
12,14 July,Saint-Étienne – Mende,Hilly stage,222.5 km (138.3 mi),Laurent Jalabert (FRA),
13,15 July,Mende – Revel,Plain stage,245.0 km (152.2 mi),Serhiy Utchakov (UKR),
14,16 July,Saint-Orens-de-Gameville – Guzet-Neige,Stage with mountain(s),164.0 km (101.9 mi),Marco Pantani (ITA),
15,18 July,Saint-Girons – Cauterets,Stage with mountain(s),206.0 km (128.0 mi),Richard Virenque (FRA),
16,19 July,Tarbes – Pau,Stage with mountain(s),149.0 km (92.6 mi),Cancelled,
17,20 July,Pau – Bordeaux,Plain stage,246.0 km (152.9 mi),Erik Zabel (GER),
18,21 July,Montpon-Ménestérol – Limoges,Plain stage,166.5 km (103.5 mi),Lance Armstrong (USA),
19,22 July,Lac de Vassivière – Lac de Vassivière,Individual time trial,46.5 km (28.9 mi),Miguel Indurain (ESP),
20,23 July,Sainte-Geneviève-des-Bois – Paris (Champs-Élysées),Plain stage,155.0 km (96.3 mi),Djamolidine Abduzhaparov (UZB),
