Stage,Date,Route,Terrain,Length,Winner
P,1 July,Saint-Brieuc,Individual time trial,7.3 km (4.5 mi),Jacky Durand (FRA)
1,2 July,Dinan – Lannion,Plain stage,233.5 km (145.1 mi),Fabio Baldato (ITA)
2,3 July,Perros-Guirec – Vitre,Plain stage,235.5 km (146.3 mi),Mario Cipollini (ITA)
3,4 July,Mayenne – Alençon,Team time trial,67.0 km (41.6 mi),Gewiss-Ballan (ITA)
4,5 July,Alençon – Le Havre,Plain stage,162.0 km (100.7 mi),Mario Cipollini (ITA)
5,6 July,Fécamp – Dunkerque,Plain stage,261.0 km (162.2 mi),Jeroen Blijlevens (NED)
6,7 July,Dunkerque – Charleroi,Plain stage,202.0 km (125.5 mi),Erik Zabel (GER)
7,8 July,Charleroi – Liège,Hilly stage,203.0 km (126.1 mi),Johan Bruyneel (BEL)
8,9 July,Huy – Seraing,Individual time trial,54.0 km (33.6 mi),Miguel Indurain (ESP)
9,11 July,Le Grand-Bornand – La Plagne,Stage with mountain(s),160.0 km (99.4 mi),Alex Zülle (SUI)
10,12 July,La Plagne – L'Alpe d'Huez,Stage with mountain(s),162.5 km (101.0 mi),Marco Pantani (ITA)
