Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
5,158,Atlanta Falcons,Kurt Kittner,QB,Illinois,Big Ten,from Oakland
5,159,Washington Redskins,Andre Lott,S,Tennessee,SEC,from Baltimore
5,160,Washington Redskins,Robert Royal,TE,LSU,SEC,N.Y. Jets
5,161,Miami Dolphins,Omare Lowe,S,Washington,Pac-10,
5,162,Philadelphia Eagles,Freddie Milons,WR,Alabama,SEC,
5,163,San Francisco 49ers,Brandon Doman,QB,BYU,MWC,
5,164,Green Bay Packers,Craig Nall,QB,Northwestern State,Southland,
5,165,Chicago Bears,Bryan Knight,LB,Pittsburgh,Big East,
5,166,Pittsburgh Steelers,Verron Haynes,RB,Georgia,SEC,
5,167,St. Louis Rams,Courtland Bullard,LB,Ohio State,Big Ten,
5,168,Dallas Cowboys,Pete Hunter,CB,Virginia Union,CIAA,from New England
5*,169,Seattle Seahawks,Ryan Hannam,TE,Northern Iowa,Gateway,
5*,170,Miami Dolphins,Sam Simmons,WR,Northwestern,Big Ten,
5*,171,Seattle Seahawks,Matt Hill,OT,Boise State,WAC,
5*,172,San Francisco 49ers,Josh Shaw,DT,Michigan State,Big Ten,
6,173,Houston Texans,DeMarcus Faggins,CB,Kansas State,Big 12,
6,174,Carolina Panthers,Keith Heinrich,TE,Sam Houston State,Southland,
6,175,Detroit Lions,Chris Cash,CB,USC,Pac-10,
6,176,Buffalo Bills,Kevin Thomas,CB,UNLV,MWC,
6,177,Minnesota Vikings,Nick Rogers,LB,Georgia Tech,ACC,
6,178,San Diego Chargers,Matt Anderle,OT,Minnesota,Big Ten,
6,179,Dallas Cowboys,Tyson Walter,C,Ohio State,Big Ten,
6,180,Jacksonville Jaguars,Clenton Ballard,DT,Southwest Texas State,Southland,
6,181,Cincinnati Bengals,Marquand Manuel,S,Florida,SEC,
6,182,Indianapolis Colts,David Pugh,DT,Virginia Tech,Big East,
6,183,Indianapolis Colts,James Lewis,DB,Miami (FL),Big East,from Kansas City via St. Louis
