Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
6,184,Atlanta Falcons,Kahlil Hill,WR,Iowa,Big Ten,
6,185,Arizona Cardinals,Josh Scobey,RB,Kansas State,Big 12,
6,186,New Orleans Saints,J. T. O'Sullivan,QB,UC Davis,Div. II Ind.,
6,187,Tennessee Titans,Justin Hartwig,C,Kansas,Big 12,
6,188,New York Giants,Wesly Mallard,LB,Oregon,Pac-10,
6,189,Oakland Raiders,Keyon Nash,DB,Albany State,SIAC,from Cleveland
6¤,190,Houston Texans,Howard Green,DT,LSU,SEC,
6,191,Denver Broncos,Jeb Putzier,TE,Boise State,WAC,
6,192,Washington Redskins,Reggie Coleman,OT,Tennessee,SEC,
6,193,Tampa Bay Buccaneers,John Stamper,DE,South Carolina,SEC,
6,194,Seattle Seahawks,Craig Jarrett,P,Michigan State,Big Ten,
6,195,Baltimore Ravens,Lamont Brightful,CB,Eastern Washington,Big Sky,
6,196,New Orleans Saints,John Gilmore,TE,Penn State,Big Ten,from NY Jets
6,197,Oakland Raiders,Larry Ned,RB,San Diego State,MWC,
6,198,Philadelphia Eagles,Tyreo Harrison,LB,Notre Dame,Ind.,
6,199,Chicago Bears,Adrian Peterson,RB,Georgia Southern,SoCon,from Miami
6,200,Green Bay Packers,Mike Houghton,OT,San Diego State,MWC,
6,201,San Francisco 49ers,Mark Anelli,TE,Wisconsin,Big Ten,
6,202,Pittsburgh Steelers,Lee Mays,WR,UTEP,WAC,
6,203,Chicago Bears,Jamin Elliott,WR,Delaware,A-10,
6,204,Indianapolis Colts,Brian Allen,RB,Stanford,Pac-10,
6,205,St. Louis Rams,Steve Bellisari,QB,Ohio State,Big Ten,
6*,206,Baltimore Ravens,Javin Hunter,WR,Notre Dame,Ind.,
6*,207,Baltimore Ravens,Chester Taylor,RB,Toledo,MAC,
6*,208,Dallas Cowboys,DeVeren Johnson,WR,Sacred Heart,NEC,
6*,209,Baltimore Ravens,Chad Williams,S,Southern Miss,C-USA,
