Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
2,55,Oakland Raiders,Doug Jolley,TE,BYU,MWC,
2,56,Washington Redskins,Ladell Betts,RB,Iowa,Big Ten,from Baltimore
2,57,New York Jets,Jon McGraw,S,Kansas State,Big 12,
2,58,Philadelphia Eagles,Michael Lewis†,S,Colorado,Big 12,
2,59,Philadelphia Eagles,Sheldon Brown,CB,South Carolina,SEC,from Miami
2,60,Seattle Seahawks,Anton Palepoi,DE,UNLV,MWC,from Green Bay
2,61,Buffalo Bills,Ryan Denney,DE,BYU,MWC,from San Francisco
2,62,Pittsburgh Steelers,Antwaan Randle El,WR,Indiana,Big Ten,
2,63,Dallas Cowboys,Antonio Bryant,WR,Pittsburgh,Big East,from Chicago
2,64,St. Louis Rams,Travis Fisher,CB,UCF,Ind.,
2,65,New England Patriots,Deion Branch,WR,Louisville,C-USA,
3,66,Houston Texans,Fred Weary,G,Tennessee,SEC,
3,67,Cincinnati Bengals,Matt Schobel,TE,TCU,C-USA,from Carolina
3,68,Detroit Lions,André Goodman,CB,South Carolina,SEC,
3,69,San Francisco 49ers,Saleem Rasheed,LB,Alabama,SEC,from Buffalo
3,70,Minnesota Vikings,Willie Offord,SS,South Carolina,SEC,
3,71,San Diego Chargers,Ben Leber,LB,Kansas State,Big 12,
3,72,Chicago Bears,Roosevelt Williams,CB,Tuskegee,SIAC,from Dallas
3,73,Carolina Panthers,Will Witherspoon,LB,Georgia,SEC,from Cincinnati
3,74,Indianapolis Colts,Joseph Jefferson,SS,Western Kentucky,Gateway,
3,75,Dallas Cowboys,Derek Ross,CB,Ohio State,Big Ten,from Kansas City
3,76,Cleveland Browns,Melvin Fowler,C,Maryland,ACC,from Jacksonville
3,77,Tennessee Titans,Rocky Calmus,LB,Oklahoma,Big 12,
3,78,New York Giants,Jeff Hatch,OT,Penn,Ivy,
3,79,Washington Redskins,Rashad Bauman,CB,Oregon,Pac-10,from Cleveland via Jacksonville
3,80,Atlanta Falcons,Will Overstreet,LB,Tennessee,SEC,
3,81,Arizona Cardinals,Josh McCown,QB,Sam Houston State,Southland,
