Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes,Extra_Data_1,Dummy_Col_2,Irrelevant_3
4*,132,Minnesota Vikings,Ed Ta'amu,G,Utah,MWC,,176,sWatT,usSXEL
4*,133,Tennessee Titans,Rocky Boiman,LB,Notre Dame,Ind.,,454,xbZoY,ZpzEHJhe
4*,134,Detroit Lions,John Taylor,DE,Montana State,Big Sky,,538,dnCwQi,24aAes
4*,135,Green Bay Packers,Najeh Davenport,RB,Miami (FL),Big East,,354,vghtzIK,Wu4Za86
5,136,Houston Texans,Jarrod Baxter,FB,New Mexico,MWC,,394,ufdVD,YYOkSba
5,137,Carolina Panthers,Randy Fasani,QB,Stanford,Pac-10,,223,NpUkxL,daEcnAg
5,138,Detroit Lions,John Owens,TE,Notre Dame,Ind.,,401,fICtM,Keco2bRM
5,139,Buffalo Bills,Justin Bannan,DT,Colorado,Big 12,,156,MLvRnCu,pfT5JBX
5,140,Chicago Bears,Bobby Gray,S,Louisiana Tech,WAC,from Dallas,759,TZvwE,bOtw3C
5,141,Cleveland Browns,Andra Davis,LB,Florida,SEC,from Minnesota,668,gjIIEvUQ,uhnx5C
5,142,San Diego Chargers,Terry Charles,WR,Portland State,Big Sky,,799,RwRJSC,hjGNq
5,143,Kansas City Chiefs,Scott Fujita,LB,California,Pac-10,,215,DqHdz,cj5EI
5,144,Denver Broncos,Herb Haygood,WR,Michigan State,Big Ten,from Jacksonville via New England,255,tOVphWW,0EqhM
5,145,Carolina Panthers,Kyle Johnson,FB,Syracuse,Big East,from Cincinnati,989,DgwOY,sicZMK
5,146,Seattle Seahawks,Rocky Bernard,DT,Texas A&M,Big 12,from Indianapolis,513,DwiNnDuS,B7Baa
5,147,Oakland Raiders,Kenyon Coleman,DE,UCLA,Pac-10,from Cleveland,930,FWGmwd,5cOmGQ
5,148,Atlanta Falcons,Kevin McCadam,S,Virginia Tech,Big East,,617,JJrcS,Cqrh6188
5,149,Arizona Cardinals,Jason McAddley,WR,Alabama,SEC,,270,MMygU,Vd1LBk
5,150,New Orleans Saints,Mel Mitchell,S,Western Kentucky,Gateway,,826,rWrWg,lgDqIt9
5,151,Tennessee Titans,Jake Schifino,WR,Akron,MAC,,901,qfgORTFp,Dvwardg
5,152,New York Giants,Nick Greisen,LB,Wisconsin,Big Ten,,750,cHwaXSDM,peIPak
5¤,153,Houston Texans,Ramon Walker,S,Pittsburgh,Big East,,349,BtalPpi,wEp5LPnY
5,154,New York Jets,Jonathan Goodwin†,G,Michigan,Big Ten,from Washington,82,eXzbBlGI,5fcCeXr
5,155,Baltimore Ravens,Terry Jones,TE,Alabama,SEC,from Denver,996,sYOsGz,OhYCIhq
5,156,Green Bay Packers,Aaron Kampman†,DE,Iowa,Big Ten,from Seattle,872,ZeKlmC,ACrgypE
5,157,Tampa Bay Buccaneers,Jermaine Phillips,S,Georgia,SEC,,594,mInCz,KHnOBB7Z
