Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes,Irrelevant_1,Unused_2,Unused_3
6*,210,Chicago Bears,Bryan Fletcher,TE,UCLA,Pac-10,,OCk35Uy,,
6*,211,Dallas Cowboys,Bob Slowikowski,TE,Virginia Tech,Big East,,qGYcm3z,,
7,212,Pittsburgh Steelers,Lavar Glover,DB,Cincinnati,C-USA,from Houston,31Cu5,,
7,213,Carolina Panthers,Pete Campion,G,North Dakota State,NCIAC,,RQbQIO,,
7,214,Detroit Lions,Luke Staley,RB,BYU,MWC,,TyR01yb,,
7,215,Buffalo Bills,Mike Pucillo,C,Auburn,SEC,,VT48bW,,
7,216,San Diego Chargers,Seth Burford,QB,Cal Poly SLO,Ind.,,7ZtNFU,,
7,217,Atlanta Falcons,Michael Coleman,WR,Widener,Middle Atlantic,from Dallas,rynE66r,,
7,218,Minnesota Vikings,Chad Beasley,OT,Virginia Tech,Big East,,3TPRd,,
7,219,Cincinnati Bengals,Joey Evans,DE,North Carolina,ACC,,gLaBt0z,,
7,220,Indianapolis Colts,Josh Mallard,DE,Georgia,SEC,,B2AywUCN,,
7,221,Kansas City Chiefs,Maurice Rodriguez,LB,Fresno State,WAC,,nuIMvJXI,,
7,222,Jacksonville Jaguars,Kendall Newson,WR,Middle Tenn. State,Sun Belt,,MWlZFL2,,
7,223,Arizona Cardinals,Mike Banks,TE,Iowa State,Big 12,,iFqBqA,,
7,224,New Orleans Saints,Derrius Monroe,DE,Virginia Tech,Big East,,LWvPM,,
7,225,Tennessee Titans,Darrell Hill,WR,Northern Illinois,MAC,,K2mhB,,
7,226,New York Giants,Daryl Jones,WR,Miami (FL),Big East,,xz9Jgln,,
7,227,Cleveland Browns,Joaquin Gonzalez,OT,Miami (FL),Big East,,9M3yg,,
7,228,Denver Broncos,Chris Young,S,Georgia Tech,ACC,from Atlanta,yZTVbB,,
7¤,229,Houston Texans,"Greg \Stylez G.\"" White""",DE,Minnesota,Big Ten,,JHpUA,,
7,230,Washington Redskins,Jeff Grau,C,UCLA,Pac-10,,OumJu99S,,
7,231,Denver Broncos,Monsanto Pope,DT,Virginia,ACC,,wWTEHRmJ,,
7,232,Seattle Seahawks,Jeff Kelly,QB,Southern Miss,C-USA,,Xj0qu,,
7,233,Tampa Bay Buccaneers,Tim Wansley,CB,Georgia,SEC,,hat3u,,
7,234,Washington Redskins,Greg Scott,DE,Hampton,MEAC,from N.Y. Jets via New England,kc9h0,,
7,235,Oakland Raiders,Ronald Curry,WR,North Carolina,ACC,,EI4r1,,
