Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
4,106,Indianapolis Colts,David Thornton,LB,North Carolina,ACC,
4,107,Kansas City Chiefs,Omar Easy,FB,Penn State,Big Ten,
4,108,Jacksonville Jaguars,David Garrard†,QB,East Carolina,C-USA,
4,109,Cincinnati Bengals,Travis Dorsch,K,Purdue,Big Ten,
4,110,Tennessee Titans,Mike Echols,CB,Wisconsin,Big Ten,from N.Y. Giants
4,111,Cleveland Browns,Ben Taylor,LB,Virginia Tech,Big East,
4,112,Baltimore Ravens,Dave Zastudil,P,Ohio,MAC,from Atlanta via Denver
4,113,Arizona Cardinals,Nate Dwyer,DT,Kansas,Big 12,
4,114,Miami Dolphins,Randy McMichael,TE,Georgia,SEC,from New Orleans
4,115,Tennessee Titans,Tony Beckham,CB,UW–Stout,WIAC,
4¤,116,Atlanta Falcons,Martin Bibla,G,Miami (FL),Big East,from Houston
4,117,New England Patriots,Rohan Davey,QB,LSU,SEC,from Denver
4,118,Jacksonville Jaguars,Chris Luzar,TE,Virginia,ACC,from Washington
4,119,Tampa Bay Buccaneers,Travis Stephens,RB,Tennessee,SEC,
4,120,Seattle Seahawks,Terreal Bierria,SS,Georgia,SEC,
4,121,New York Jets,Alan Harper,NT,Fresno State,WAC,
4,122,Cleveland Browns,Darnell Sanders,TE,Ohio State,Big Ten,from Oakland
4,123,Baltimore Ravens,Ron Johnson,WR,Minnesota,Big Ten,
4,124,Philadelphia Eagles,Scott Peters,C,Arizona State,Pac-10,
4,125,New Orleans Saints,Keyuo Craver,CB,Nebraska,Big 12,from Miami
4,126,New England Patriots,Jarvis Green,DE,LSU,SEC,from Green Bay
4,127,San Francisco 49ers,Kevin Curtis,DB,Texas Tech,Big 12,
4,128,Pittsburgh Steelers,Larry Foote,LB,Michigan,Big Ten,
4,129,Dallas Cowboys,Jamar Martin,FB,Ohio State,Big Ten,from Chicago
4,130,St. Louis Rams,Travis Scott,G,Arizona State,Pac-10,
4,131,Denver Broncos,Sam Brandon,SS,UNLV,MWC,from New England
