Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
1,28,Seattle Seahawks,Jerramy Stevens,TE,Washington,Pac-10,from Green Bay
1,29,Chicago Bears,Marc Colombo,OT,Boston College,Big East,
1,30,Pittsburgh Steelers,Kendall Simmons,G,Auburn,SEC,
1,31,St. Louis Rams,Robert Thomas,LB,UCLA,Pac-10,
1,32,Washington Redskins,Patrick Ramsey,QB,Tulane,C-USA,from New England
2,33,Houston Texans,Jabar Gaffney,WR,Florida,SEC,
2,34,Carolina Panthers,DeShaun Foster,RB,UCLA,Pac-10,
2,35,Detroit Lions,Kalimba Edwards,DE,South Carolina,SEC,
2,36,Buffalo Bills,Josh Reed,WR,LSU,SEC,
2,37,Dallas Cowboys,Andre Gurode†,C,Colorado,Big 12,
2,38,Minnesota Vikings,Raonall Smith,LB,Washington State,Pac-10,
2,39,San Diego Chargers,Toniu Fonoti,G,Nebraska,Big 12,
2,40,Jacksonville Jaguars,Mike Pearson,OT,Florida,SEC,
2,41,Cincinnati Bengals,Lamont Thompson,FS,Washington State,Pac-10,
2,42,Indianapolis Colts,Larry Tripplett,DT,Washington,Pac-10,
2,43,Kansas City Chiefs,Eddie Freeman,DE,UAB,C-USA,
2,44,New Orleans Saints,LeCharles Bentley†,C,Ohio State,Big Ten,
2,45,Tennessee Titans,Tank Williams,SS,Stanford,Pac-10,
2,46,New York Giants,Tim Carter,WR,Auburn,SEC,
2,47,Cleveland Browns,André Davis,WR,Virginia Tech,Big East,
2,48,San Diego Chargers,Reche Caldwell,WR,Florida,SEC,from Atlanta
2,49,Arizona Cardinals,Levar Fisher,LB,NC State,ACC,
2¤,50,Houston Texans,Chester Pitts,G,San Diego State,MWC,
2,51,Denver Broncos,Clinton Portis†,RB,Miami (FL),Big East,
2,52,Baltimore Ravens,Anthony Weaver,DE,Notre Dame,Ind.,from Washington
2,53,Oakland Raiders,Langston Walker,G,California,Pac-10,from Tampa Bay
2,54,Seattle Seahawks,Maurice Morris,RB,Oregon,Pac-10,
