Position,Driver,No.,Car,Entrant,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Total,Extra_Data_1
12,Paul Bolinowsky,45,Porsche 996 GT3,Bolin Racing,24,30,-,-,-,42,54,45,195,503
13,Dave Stevens,43,Porsche 996 GT3 Cup CarFerrari F430 Challenge,BennanitSecure Telecom,-,37.5,-,45,72,36,-,-,190.5,64
14,Paul Tressider,23,Porsche 996 GT3 Cup Car,Wynn Tressider Management,29,22.5,49,-,-,45,-,43.5,189,58
15,Mark Eddy,12,Porsche 996 GT3R,Quarterback Shirts,41,15,-,-,-,63,-,52.5,171.5,492
16,Damien Flack,55,Porsche 996 GT3 Cup Car,Roock,-,-,69,12,-,54,-,25.5,160.5,99
17,Matthew Turnbull,13,Porsche 996 GT3 Cup Car,PROMAT,43,49.5,38,-,27,-,-,-,157.5,523
18,Bill Pye,44,Porsche 996 GT3 Cup Car,AutoHaus HamiltonProperty Solutions Group,-,58.5,-,-,-,39,-,43.5,141,784
19,Anthony Skinner,46,Porsche 996 GT3,Travelplan Ski Holiday,52,18,-,-,-,-,69,-,139,391
20,Andrew Luxton,17 & 18,Porsche 996 GT3 Cup Car,Luxton PlantTwigg Waste Management,-,-,-,-,-,57,-,66,123,476
21,John Kaias,77,Porsche 996 GT3 Cup Car,ABCORPreston General Engine,53,25.5,-,42,-,-,-,-,120.5,914
22,Ian Palmer,20,Honda NSX,Instant FountainsPaluky Ho,25,-,33,53,-,-,-,-,111,701
