Position,Driver,No.,Car,Entrant,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Total
23,Ross Lilley,51,Porsche 996 GT3 Cup Car,Loala Furniture International,29,36,-,-,46,-,-,-,111
24,Kevin Miller,2,Ferrari F430,Property Solutions Group,-,-,-,-,-,-,63,36,99
25,Shaun Juniper,30,Porsche 996 GT3 Cup Car,Juniper Racing,-,-,-,-,43,51,-,-,94
26,Peter Hackett,5,Lamborghini Diablo GTR,Team Lamborghini Australia,-,91.5,-,-,-,-,-,-,91.5
27,Marc Cini,9,Porsche 996 GT3 Cup Car,Hallmarc,-,45,-,-,-,-,-,42,87
28,Graeme Cook,91,Porsche 996 GT3 Cup Car,Container Solutions,27,-,-,-,58,-,-,-,85
29,Ash Samadi,55,Porsche 996 GT3 Cup Car,Rook,54,-,-,-,-,-,-,25.5,79.5
30,Greg Ward,14,Porsche 996 GT3 Cup Car,Greg Ward,-,-,-,48,-,-,-,30,78
31,Peter Lucas,99,Lotus Elise Motorsport 200,Urban Developments,10,-,-,-,42,-,-,24,76
32,Stuart Kostera,70,Porsche 996 GT3 Cup Car,PHR Scuderia,-,-,-,73,-,-,-,-,73
