Position,Driver,No.,Car,Entrant,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Total,Extra_Data_1
43,Malcolm Lynn,32,Porsche 996 GT3,Lynn Building Supplies,-,-,-,-,-,-,-,36,36,831
44,Claude Giorgi,29,Porsche 996 GT3 Cup Car,Buildwise,-,-,-,-,32,-,-,-,32,867
45,David Giugni,14,Porsche 996 GT3 Cup Car,Ech Ridge Wines,-,-,-,-,-,-,-,30,30,518
46,Garth Rainsbury,66,Ferrari 360 Challenge,Speed Energy Drink,24,-,-,-,-,-,-,-,24,613
47,Scott Bargwanna,99,Lotus Elise Motorsport 200,Urban Developments,-,-,-,-,-,-,-,24,24,763
48,Tim Poulton,56,Lotus Exige,Urban Arrangement,-,-,-,-,-,-,-,13.5,13.5,852
49,Angela Coradine,86,Lotus Elise,Urban Arrangement,-,-,-,-,-,-,-,12,12,433
50,Glenn Townsend,86,Lotus Elise,Urban Arrangement,-,-,-,-,-,-,-,12,12,581
51,Andrew Fisher,6,Lotus Exige,Witches Chase Cheese Co,-,-,-,-,-,-,-,9,9,83
52,Geoff Munday,10,Ford Mustang,Jim Beam Racing,8,-,-,-,-,-,-,-,8,355
