Date,Tournament,Winner,Purse ($),Notes
25 Feb,Pinamar Open,Miguel Rodriguez,"70,000",
3 Mar,South Open,Rafael Gómez,"100,000",
10 Mar,Parana Open,Julio Zapata,"70,000",
8 Apr,Norpatagonico Open,Luciano Dodda (amateur),,PGA Argentina- No valid TPG
15 Apr,Center Open,Ángel Cabrera,"200,000",Co-sanctioned by the TLA
22 Apr,Ángel Cabrera Classic,Rafael Gómez,"120,000",
29 Apr,Chaco Open,Fabián Gómez,"70,000",
9 Jun,North Open,"Ricardo González, Andrés Romero (tie)","80,000",
10 Jul,Metropolitano Open,José Cóceres,,PGA Argentina- No valid TPG
11 Aug,Misiones Open,Sergio Acevedo,"70,000",
