Athlete,Nation,Olympics,Gold,Silver,Bronze,Total,Dummy_Col_1,Unused_2
Gillis Grafström,Sweden (SWE),1920–1932,3,1,0,4,SRKUhCk,
Evgeni Plushenko,Russia (RUS),2002–2014,2,2,0,4,qGozJ,
Sonja Henie,Norway (NOR),1928–1936,3,0,0,3,YwSjDrhh,
Irina Rodnina / Alexander Zaitsev,Soviet Union (URS),1972–1980,3,0,0,3,ZLuEEuO,
Artur Dmitriev / Natalia Mishkutenok,Unified Team (EUN) Russia (RUS),1992–1998,2,1,0,3,rxldJWdI,
Andrée Brunet / Pierre Brunet,France (FRA),1924–1932,2,0,1,3,jczZK,
Ludmila Belousova / Oleg Protopopov,Soviet Union (URS),1964–1968,2,0,0,2,iufqLEZx,
Dick Button,United States (USA),1948–1952,2,0,0,2,XJTmo,
Ekaterina Gordeeva / Sergei Grinkov,Soviet Union (URS) Russia (RUS),"1988, 1994",2,0,0,2,JvETmbA,
Oksana Grishuk / Evgeny Platov,Russia (RUS),1994–1998,2,0,0,2,OWMuK,
Karl Schäfer,Austria (AUT),1928–1936,2,0,0,2,aybYnY,
Tatiana Volosozhar / Maxim Trankov,Russia (RUS),2014,2,0,0,2,kCSJYYO,
