Athlete,Nation,Olympics,Gold,Silver,Bronze,Total,Extra_Data_1,Filler_2,Irrelevant_3
Michelle Kwan,United States (USA),1998-2002,0,1,1,2,63,qdupjKcv,gY534E
Irina Slutskaya,Russia (RUS),2002-2006,0,1,1,2,567,lLhjjvpl,1vGSSB
Maya Usova / Alexander Zhulin,Unified Team (EUN) Russia (RUS),1992-1994,0,1,1,2,402,pGdJaOb,KyCr1
Isabelle Brasseur / Lloyd Eisler,Canada (CAN),1992-1994,0,0,2,2,765,trKEix,LzAlTI
Philippe Candeloro,France (FRA),1994-1998,0,0,2,2,717,ToFpAU,PFXBrF
Manuela Groß / Uwe Kagelmann,East Germany (GDR),1972-1976,0,0,2,2,717,ykIuS,Awt4I3Y
Chen Lu,China (CHN),1994-1998,0,0,2,2,713,FKoJgyx,nMzRfeCc
Marianna Nagy / László Nagy,Hungary (HUN),1952-1956,0,0,2,2,157,basgVUQn,pii6l
Patrick Péra,France (FRA),1968-1972,0,0,2,2,264,sBDNCLDB,JG5QEb
Emília Rotter / László Szollás,Hungary (HUN),1932-1936,0,0,2,2,443,OThTm,zo3ms
Aliona Savchenko / Robin Szolkowy,Germany (GER),2010-2014,0,0,2,2,659,qJFYOo,zfKInmB
