MLBseason,Teamseason,League,Division,Finish,Wins,Losses,Win %,GB,Postseason,Awards,Random_Column_1
1981,1981,AL,East*,3rd,31,25,.554,3,"Lost ALDS vs. New York Yankees, 3–2","Rollie Fingers (MVP, CYA)",ADQL2
1981,1981,AL,East*,1st,31,22,.585,—,"Lost ALDS vs. New York Yankees, 3–2","Rollie Fingers (MVP, CYA)",H4Nytj
1982,1982,AL‡,East*,1st,95,67,.586,—,"Won ALCS vs. California Angels, 3–2Lost World Series vs. St. Louis Cardinals, 4–3",Robin Yount (MVP)Pete Vuckovich (CYA),6XdfgS
1983,1983,AL,East,5th,87,75,.537,11,—,Cecil Cooper (RCA),qCRGa
1984,1984,AL,East,7th,67,94,.416,36½,—,—,nlagNLSV
1985,1985,AL,East,6th,71,90,.441,28,—,—,SKSmVv
1986,1986,AL,East,6th,77,84,.478,18,—,—,zOzWU6Qb
1987,1987,AL,East,3rd,91,71,.562,7,—,—,6EL5vS
1988,1988,AL,East,3rd,87,75,.537,2,—,—,sUGbMA
1989,1989,AL,East,4th,81,81,.500,8,—,Robin Yount (MVP),t2OoQc
1990,1990,AL,East,6th,74,88,.457,14,—,—,8d6cBw8F
1991,1991,AL,East,4th,83,79,.512,8,—,—,GMRn8gAl
