MLBseason,Teamseason,League,Division,Finish,Wins,Losses,Win %,GB,Postseason,Awards,Filler_1,Extra_Data_2,Noise_Field_3
2004,2004,NL,Central,6th,67,94,.411,37½,—,—,kcEczFl,268,tQmxG
2005,2005,NL,Central,3rd,81,81,.500,19,—,—,tlRAPM,493,lALBuW
2006,2006,NL,Central,4th,75,87,.463,8½,—,—,sFJers,409,JiKkLm
2007,2007,NL,Central,2nd,83,79,.512,2,—,Ryan Braun (ROY)Prince Fielder (HAA),nPHbakm,162,sIztQMv
2008,2008,NL,Central,2nd§,90,72,.556,7½,"Lost NLDS vs. Philadelphia Phillies, 3–1",—,UowSmy,844,jQsjL
2009,2009,NL,Central,3rd,80,82,.494,11,—,—,KkLBYC,287,xSkTdNwj
2010,2010,NL,Central,3rd,77,85,.475,14,—,—,TSOxIG,853,QRJgUsP
2011,2011,NL,Central*,1st,96,66,.593,—,"Won NLDS vs. Arizona Diamondbacks, 3–2Lost NLCS vs. St. Louis Cardinals, 4-2",Ryan Braun (MVP)John Axford (ROL),OKDQik,53,JuBTiQlT
2012,2012,NL,Central,3rd,83,79,.512,14,—,—,fMMfwKXz,909,LTGGr
2013,2013,NL,Central,4th,74,88,.457,23,—,—,VJjfioQC,645,MjsnC
2014,2014,NL,Central,3rd,1,2,.333,1,—,—,mkiabhGo,412,LkWsp
