MLBseason,Teamseason,League,Division,Finish,Wins,Losses,Win %,GB,Postseason,Awards,Random_Column_1,Random_Column_2
1992,1992,AL,East,2nd,92,70,.568,4,—,Pat Listach (ROY),VhVOhd,hAvO3
1993,1993,AL,East,7th,69,93,.426,26,—,—,KCCwb,Ml5YAhJl
1994,1994,AL,Central,5th,53,62,.461,15,—,—,B768cFe,nnWNZAaR
1995,1995,AL,Central,4th,65,79,.451,35,—,—,3gfWb,K9926P
1996,1996,AL,Central,3rd,80,82,.494,19½,—,—,iSelYA8m,6tZKx
1997,1997,AL,Central,3rd,78,83,.484,8,—,—,R1iZAQ,3YWHWe5
1998,1998,NL,Central,5th,74,88,.457,28,—,—,SDynBu5,gtvb9
1999,1999,NL,Central,5th,74,87,.460,22½,—,—,2PGKIN0W,CFH6VpRq
2000,2000,NL,Central,3rd,73,89,.451,22,—,—,huXz5jRX,KG4lY
2001,2001,NL,Central,4th,68,94,.420,25,—,—,etmr8k,WQ45WOQk
2002,2002,NL,Central,6th,56,106,.346,41,—,—,luo8Dltj,pRkp80aU
2003,2003,NL,Central,6th,68,94,.412,20,—,—,AXBLH4,2jgRKEf
