Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Extra_Data_1,Extra_Data_2,Dummy_Col_3
11,11,Sébastien Bourdais,Toro Rosso-Ferrari,56,+1:34.156,15,,769,860,lLqRVz
12,6‡,Nick Heidfeld,BMW Sauber,56,+1:35.834,11,,711,739,lLBKb
13,5,Robert Kubica,BMW Sauber,56,+1:46.853,17,,467,401,lsdSfWJ
14,21,Giancarlo Fisichella,Force India-Mercedes,55,+1 Lap,20,,693,906,ejvSoy
15,16,Nico Rosberg,Williams-Toyota,55,+1 Lap,7,,607,219,dxyVDED
16,8,"Nelson Piquet, Jr.",Renault,54,+2 Laps,16,,761,318,ZEbhBfb
17,20,Adrian Sutil,Force India-Mercedes,50,Accident,18,,46,170,wLDVpR
Ret,17,Kazuki Nakajima,Williams-Toyota,43,Transmission,14,,577,148,fCCDmP
Ret,3,Felipe Massa,Ferrari,20,Electrical,13,,767,957,GnIuS
Ret,9,Jarno Trulli,Toyota,18,Collision damage,6,,713,537,RSvIMjN
