Outcome,No.,Date,Championship,Surface,Opponent in the final,Score in the final,Irrelevant_1,Extra_Data_2
Runner-up,1.,1975,"Båstad, Sweden",Clay,Manuel Orantes,"0–6, 3–6",FyyIR,291
Runner-up,2.,1976,"São Paulo, Brazil",Carpet,Guillermo Vilas,"3–6, 0–6",tljKzXV,227
Winner,1.,1976,"Santiago, Chile",Clay,Carlos Kirmayr,"5–7, 6–4, 6–4",ZZ8NjL,374
Winner,2.,1977,"Murcia, Spain",Clay,Buster Mottram,"6–4, 6–0, 6–3",Z5TIr4V,493
Runner-up,3.,1977,"Bogotá, Colombia",Clay,Guillermo Vilas,"1–6, 2–6, 3–6",WMkGd11,162
Winner,3.,1978,"Cairo, Egypt",Clay,Kjell Johansson,"4–6, 6–4, 6–4",Q2oztpaS,734
Winner,4.,1978,"Nice, France",Clay,Yannick Noah,"6–3, 6–4, 6–4",R2Wobk,186
Runner-up,4.,1978,"Indianapolis, U.S.",Clay,Jimmy Connors,"0–6, 3–6",zMTdYzKG,337
Winner,5.,1978,"Bournemouth, England",Clay,Paolo Bertolucci,"6–2, 6–1, 6–3",vnChkkH4,3
Winner,6.,1978,"Madrid, Spain",Clay,Tomáš Šmíd,"6–7, 6–3, 6–3, 6–4",1orrcYf1,516
Winner,7.,1979,"Houston, U.S.",Clay,Gene Mayer,"6–3, 2–6, 7–6",cFUIUdNW,162
Winner,8.,1979,"Hamburg, Germany",Clay,Harold Solomon,"3–6, 6–1, 6–4, 6–1",1fuV8F,456
Runner-up,5.,1979,"North Conway, U.S.",Clay,Harold Solomon,"7–5, 4–6, 6–7",SfNwQ18f,212
Winner,9.,1979,"Boston, U.S.",Clay,Hans Gildemeister,"6–3, 6–1",xCJ7T,44
