Title,Year,Artist(s),Album,Writer(s),Producer(s)
"\Can U Feel It\""""",2012,Jean-Roch ft Tara McDonald,Music saved my life,"Jean-Roch, Tara McDonald, Bill Conti, Andras Vleminckx, Jérôme Riouffreyt, Maegan Cottone","Andras Vleminckx, Jérôme Riouffreyt"
"\Be there\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Hamid, Heather Bright",Andras Vleminckx
"\Be there (ballad version)\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Hamid, Heather Bright",Andras Vleminckx
"\One foot out of the door\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Hamid,",Andras Vleminckx
"\Muevete Muevete (ola ola)\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx",Andras Vleminckx
"\Hollywood\""""",2013,Mitchell Niemeyer,',"Andras Vleminckx, Jérôme Riouffreyt, Jonathan Mendelsohn","Andras Vleminckx, Jérôme Riouffreyt"
"\RIOT\""""",2013,Nicolaz ft. Angelika Vee,',"Andras Vleminckx, Jérôme Riouffreyt, Fabian Lenssen, Angelika Vee","Andras Vleminckx, Jérôme Riouffreyt, Fabian Lenssen"
"\Papaoutai (NICOLAZ official REMIX)\""""",2013,Stromae,"\Papaoutai - EP\""""","Andras Vleminckx, Jérôme Riouffreyt","Andras Vleminckx, Jérôme Riouffreyt"
"\Move (Deekly & Eightysix official remix)\""""",2013,Little Mix,Move (Remixes) - EP,"Andras Vleminckx, Jérôme Riouffreyt","Andras Vleminckx, Jérôme Riouffreyt"
"\Move (OVER XPSR official remix)\""""",2013,Little Mix,Move (Remixes) - EP,"Andras Vleminckx, Jérôme Riouffreyt","Andras Vleminckx, Jérôme Riouffreyt"
