Title,Year,Artist(s),Album,Writer(s),Producer(s),Random_Column_1,Dummy_Col_2,Random_Column_3
"\Cheat on you\""""",2008,Kaye Styles ft. Black Cherry,Main Event,"Andras Vleminckx, Kaye Styles",Andras Vleminckx,4JvpLk,yNfbVFNQ,lUdPWV3q
"\Dance Bailalo\""""",2009,Kat Deluna,',"Kat Deluna, Andras Vleminckx, Tasleema Yasin",Andras Vleminckx,XVU7USlV,EehLyIh,smclinRP
"\Dancing Tonight\""""",2011,Kat Deluna,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx, Jérôme Riouffreyt, Sebastian LaMar Jones, Dallas Diamond","Andras Vleminckx, Jérôme Riouffreyt",zCJuE,WICLM,XWzYagJ
"\Lucky Day (song)\""""",2011,Nicola Roberts,Cinderella's Eyes,"Martina Sorbara, Dragonette, Nicola Roberts, Andras Vleminckx, Jérôme Riouffreyt","Andras Vleminckx, Jérôme Riouffreyt",7cbES,pYdOGdZ,gVWOpuwT
"\Positive\""""",2011,Taio Cruz,',"Taio Cruz, Andras Vleminckx, Jérôme Riouffreyt","Andras Vleminckx, Jérôme Riouffreyt",P3QAKd,LBWglUTg,mv0GV
"\LoveLife (Kate Ryan song)\""""",2010,Kate Ryan,Electroshock (Kate Ryan album),"Wolfgang Schrödl, Paul Drew, Greig Watts, Pete Barringer, Georgie Dennis","Anders Hansson, Felix Persson, Märta Grauers, Andras Vleminckx, Jérôme Riouffreyt)",aNXGWufe,tsbYBe,JNhkhL
"\Broken (Kate Ryan song)\""""",2010,Kate Ryan,Electroshock (Kate Ryan album),"Anders Hansson, Kate Ryan, Negin Djafari, Bernard Ansong","Anders Hansson, Felix Persson, Märta Grauers, Andras Vleminckx, Jérôme Riouffreyt)",JqK320P1,lSrWyYu,kVhCwfk8
"\Give me more\""""",2012,Tara McDonald,I like this beat,"Tara McDonald, Luciana Caporaso, Andras Vleminckx, Jérôme Riouffreyt, Nick Clow, Maegan Cottone","Andras Vleminckx, Jérôme Riouffreyt,",yjtMhgn,StyvNT,MH5gPaP
"\Drop It Low (Kat DeLuna song)\""""",2011,Kat Deluna ft Fatman Scoop,Inside Out (Kat DeLuna album),"Kat Deluna, Andras Vleminckx",Andras Vleminckx,4NTf5yg,zEoFFfw,nchoxN
"\8 days a week\""""",2012,Jean-Roch ft Timati,Music saved my life,"Jean-Roch, Timati, Andras Vleminckx, Jérôme Riouffreyt, Maegan Cottone","Andras Vleminckx, Jérôme Riouffreyt",iIvyVO,rblmgCI,CpWmo
