Year,Show,Role,Channel,Notes,Extra_Data_1,Filler_2
2004,MTV Roadies Season 2,Contestant,MTV India,Winner of MTV Roadies Season 2,871,qZgQEgtt
2007,Kayamath,Saket Shergil,Star Plus,,563,UuhhAaD
2008,"Pepsi MTV Wassup, The Voice of Youngistaan",Video Jockey,MTV India,Co-hosted the show with MTV VJs Bani J and Vineet Modi,195,mpRFYD
2008,MTV Fully Faltoo Movie-Cheque De India,Fakir lan,MTV,Spoof of Shahrukh Khan starrer movie Chak De! India,673,wcQHvCa
2008,MTV Fully Faltoo Movie-Jadoo Ekbar,Prince Jalebi,MTV,Spoof of the movie Jodhaa Akbar,928,IvvTrvPe
2008,MTV Roadies Hell Down Under,Anchor,MTV India,Anchor at the auditions only,471,bIWtqih
2008,Ek Thi Rajkumari,Antagonist,Zee Next,Antagonist,867,pTGAeX
2008–09,Fantastic 5,Video Jockey,MTV India,,293,ewGUGyi
2009,India's Got Talent Season 1,Anchor,Colors TV,Co-Hosted the show with Nikhil Chinapa,427,kfuoLDbH
2009,Kurkure Desi Beats Rock on with MTV Season 1,Anchor,MTV India,Anchor at the auditions only,403,WEKwx
