Year,Show,Role,Channel,Notes
2008,MTV Roadies Season 7,Anchor,MTV India,Anchor at the auditions only
2009,Stripped,Anchor,MTV India,
2009,Amul Music Ka Maha Muqqabla,Anchor,STAR Plus,
2010,Extra Innings T20 for Indian Premier League Season 3,Presenter,SET Max,"Co-Hosted the show with Gaurav Kapur, Samir Kochhar and Angad Bedi"
2010,India's Got Talent Season 2,Anchor,Colors TV,Co-Hosted the show with Nikhil Chinapa
2010,Kurkure Desi Beats Rock on with MTV Season 2,Anchor,MTV India,Co-Hosted the show with Lisa Haydon
2010 – present,Airtel Super Star Buzz,Anchor,Star Plus,
2011,MTV Grind,Anchor,MTV India,
2011,MTV Roadies Season 8 Graveyard,Anchor,MTV India,
2011,Just Dance,Anchor,Star Plus,"Winner, Indian Television Academy Award For Best Anchor of Music/Film Based show"
