Year,Award,Category,Film,Result
2009,Anandalok Awards,Anandalok Awards for Best Actor,Challenge,Won
2009,Anandalok Awards,Anandalok Awards for Best Action Hero,Challenge,Won
2010,Star Jalsha Entertainment Awards 2010,Star Jalsha Entertainment Awards 2010 for Best Actor,Poran Jaye Jolia Re,Won
2010,Star Jalsha Entertainment Awards 2010,Star Jalsha Entertainment Awards 2010 for Best Actor,Dujone,Nominated
2010,Tele Cine Awards 2010,Tele Cine Awards 2010 for Best Actor,Challenge,Won
2010,Kalakar Awards 2010,Kalakar Awards 2010 for Best Actor,Challenge,Won
2010,Star Ananda Shera Bangali awards 2010,STAR Ananda Shera notun Protibha Award,,Won
2010,Anandalok Awards 2010,Anandalok Awards 2010 for Best Actor (Male),Le Chakka,Won
2011,Big Bangla Movie Awards 2011,Big Bangla Movie Awards 2011 for Best Actor of the decade,,Won
2011,Anandalok Awards,Anandalok Awards for Best Actor,Paglu,Nominated
2011,Star Jalsha Entertainment Awards 2011,Star Jalsha Entertainment Awards 2011 for Best Dancing Sensation,,Won
