Year,Award,Category,Film,Result,Random_Column_1,Dummy_Col_2
2011,Zee Bangla Awards 2011,Zee Bangla Awards 2011 for Best Actor,Le Chakka,Nominated,7N0j4,DKEjbAVN
2012,Star Guide Bengali film Awards 2012,Star Guide Bengali film Awards 2012 for Best Actor,Paglu,Won,EIRAsKXG,ycMlSol
2012,Anandalok Awards 2012,Anandalok Awards 2012 for Best Actor (Male),Paglu 2,Nominated,PtrASrQ5,weJlnMhC
2012,Zee Bangla Awards 2012,Zee Bangla Awards 2012 for Best Actor,Khokababu,Won,EofH8,OPrwJC
2012,12th Tele Cine Awards 2012,12th Tele Cine Awards 2012 for Best Actor,Paglu,Won,rem03fI9,HEQQOKZ
2012,Kalakar Awards 2012,Kalakar Awards 2012 for Best Actor,Paglu,Won,b4ZN39ki,TQXoBzy
2013,13th Tele Cine Awards 2013,13th Tele Cine Awards 2013 for Best Actor,Challenge 2,Nominated,eaYXH5zS,puFlev
2013,Star Jalsha Entertainment Awards 2013,Star Jalsha Entertainment Awards 2013 for Best Dancing Sensation,,Won,FugQlTK,ciViyk
2013,Star Jalsha Entertainment Awards 2013,Star Jalsha Entertainment Awards 2013 for Best Debut Singing,Khokababu,Won,IdkRqTrE,GIbmonbW
2014,Most Desirable Tollywood Actor 2014 (Public Poll),Best Actor,"Khoka 420,Rangbaaz and Chander Pahar[8]",Won,cBJH8,WNPmQm
2014,Tollywood National Award 2014,Best Actor,Chander Pahar,Won,GJAq8Cv,fXzrG
