Year,Award,Category,Film,Result,Filler_1,Extra_Data_2
2014,Tollywood National Award 2014,Best Romantic Hero,Khoka 420,Nominated,RrpwCWe,338
2014,Tollywood National Award 2014,Best Action Hero,Rangbaaz,Won,ELBMPfIF,179
2014,Kalakar Awards 2014,Kalakar Awards 2014 for Best Actor,Rangbaaz and Chander Pahar,Won,PNMTF,452
2014,BFJA Award For Best Actor 2014,BFJA Award For Best Actor Best Actor,Chander Pahar,Won,FuKctDPD,67
2014,Zee Bangla Gourab Somman Awards 2014,Best Actor,Chander Pahar,Won,qdhneMIE,415
2014,Anandalok Awards,Best Actor,Chander Pahar,Won,UKoCO,656
2014,Zee Bangla Gourab Somman Awards 2014,Best Dancing Sensation,,Won,TZMSN,460
2014,Filmfare Awards East,Global East People's Choice Filmfare Award,,Won,ajTdwDv,497
2014,14th Tele Cine Awards 2014,14th Tele Cine Awards for Best Actor,Chander Pahar,Pending,VwxDsJ,437
2014,14th Tele Cine Awards 2014,14th Tele Cine Awards for Best Jodi (Dev-Koel),Rangbaaz,Pending,qqZGm,203
