#,Date,Film,Gross,Notes,Filler_1,Irrelevant_2,Noise_Field_3
23,"June 9, 2002",The Sum of All Fears,"$19,230,111",,xWFCAjH,2fo4o,FupOoWi
24,"June 16, 2002",Scooby-Doo,"$54,155,312",,XAOwKRWc,e7ODP,cnXWH
25,"June 23, 2002",Minority Report,"$35,677,125",,VdIwofhG,IjGosJ40,bCrDuPJo
26,"June 30, 2002",Mr. Deeds,"$37,162,787",,ReOZwKog,J6Vsj4jY,PiSacw
27,"July 7, 2002",Men in Black II,"$52,148,751",Men in Black II broke Men in Black's record ($51.1 mil) for the highest Fourth of July weekend debut.,JjBCL,e8Mq9FLO,AlNAqc
28,"July 14, 2002",Men in Black II,"$24,410,311",,YDZCVXa,P61EeGM,agOnNdmN
29,"July 21, 2002",Road to Perdition,"$15,412,515",Road to Perdition reached #1 in its second weekend of release. Initial estimates had Stuart Little 2 ahead of Road to Perdition.,DkVRUjj,Fm9dAEyJ,ZTnvaWEg
30,"July 28, 2002",Austin Powers in Goldmember,"$73,071,188",Austin Powers in Goldmember broke Planet of the Apes's record ($68.5 mil) for the highest weekend debut in July.,uqfGKlkr,mLgKZ8a,cpWIyDA
31,"August 4, 2002",Signs,"$60,117,080",,JpXhkzX,6wQRLZD,wwJvf
32,"August 11, 2002",xXx,"$44,506,103",,MsRSe,zRmgc3qf,hltSH
