#,Date,Film,Gross,Notes,Random_Column_1,Unused_2
1,"January 6, 2002",The Lord of the Rings: The Fellowship of the Ring,"$23,006,447",,4mxnx9b,
2,"January 13, 2002",The Lord of the Rings: The Fellowship of the Ring,"$16,201,260",,ljr19qx8,
3,"January 20, 2002",Black Hawk Down,"$28,611,736",Black Hawk Down broke Save the Last Dance's record ($23.4 mil) for the highest Martin Luther King weekend debut.,whfZRQJE,
4,"January 27, 2002",Black Hawk Down,"$17,012,268",,xONtH,
5,"February 3, 2002",Black Hawk Down,"$11,112,555",,NpeheMo,
6,"February 10, 2002",Collateral Damage,"$15,058,432",,jZvcux,
7,"February 17, 2002",John Q,"$20,275,194",John Q. broke The Wedding Singer's record ($18.9 mil) for the highest President's Day weekend debut.,N42Xon,
8,"February 24, 2002",Queen of the Damned,"$14,757,535",,bdodrG,
9,"March 3, 2002",We Were Soldiers,"$20,212,543",,UiON1,
10,"March 10, 2002",The Time Machine,"$22,610,437",,q9uyf,
11,"March 17, 2002",Ice Age,"$46,312,454",Ice Age broke Liar Liar's record ($31.4 mil) for the highest weekend debut in March.,Gt4wTz,
