#,Date,Film,Gross,Notes
33,"August 18, 2002",xXx,"$22,111,421",
34,"August 25, 2002",Signs,"$14,285,028",Signs reclaimed #1 in its fourth weekend of release.
35,"September 1, 2002",Signs,"$13,441,194",
36,"September 8, 2002",Swimfan,"$11,326,601",
37,"September 15, 2002",Barbershop,"$20,627,433",
38,"September 22, 2002",Barbershop,"$12,817,223",
39,"September 29, 2002",Sweet Home Alabama,"$35,648,740",Sweet Home Alabama broke Rush Hour's record ($33.0 mil) for the highest weekend debut in September.
40,"October 6, 2002",Red Dragon,"$36,540,945",Red Dragon broke Meet the Parents's record ($28.6 mil) for the highest weekend debut in October and for any fall release.
41,"October 13, 2002",Red Dragon,"$17,655,750",
42,"October 20, 2002",The Ring,"$15,015,393",
