#,Date,Film,Gross,Notes,Irrelevant_1,Random_Column_2
43,"October 27, 2002",Jackass: The Movie,"$22,763,437",,JWgWj,aZ8mN5
44,"November 3, 2002",The Santa Clause 2,"$29,008,696",,3b47OyP,MoEYG
45,"November 10, 2002",8 Mile,"$51,240,555",,cPJFV8y,WFqi6mkT
46,"November 17, 2002",Harry Potter and the Chamber of Secrets,"$88,357,488",,n0JsH,AFajzmT
47,"November 24, 2002",Die Another Day,"$47,072,040",,rt6omiTm,uB4R9
48,"December 1, 2002",Harry Potter and the Chamber of Secrets,"$32,117,496",Harry Potter and the Chamber of Secrets reclaimed #1 in its third weekend on Thanksgiving Holiday.,ZoVWFA,hizgfw8H
49,"December 8, 2002",Die Another Day,"$12,843,007",Die Another Day reclaimed #1 in its third weekend of release.,B258w6A,2pH9iy9r
50,"December 15, 2002",Maid in Manhattan,"$18,711,407",,ZR5VT3,2ID2k0x
51,"December 22, 2002",The Lord of the Rings: The Two Towers,"$62,007,528",The Lord of the Rings: The Two Towers broke The Lord of the Rings: The Fellowship of the Ring's record ($47.2 mil) for the highest weekend debut in December.,srfslwFk,ecnmab
52,"December 29, 2002",The Lord of the Rings: The Two Towers,"$48,875,549",,5XfaUw,Uv3Vl4
