Issue Date,Album,Artist
August 18,Purple Rain,Prince and the Revolution / Soundtrack
August 25,Purple Rain,Prince and the Revolution / Soundtrack
September 1,Purple Rain,Prince and the Revolution / Soundtrack
September 8,Purple Rain,Prince and the Revolution / Soundtrack
September 15,Purple Rain,Prince and the Revolution / Soundtrack
September 22,Purple Rain,Prince and the Revolution / Soundtrack
September 29,Purple Rain,Prince and the Revolution / Soundtrack
October 6,Purple Rain,Prince and the Revolution / Soundtrack
October 13,Purple Rain,Prince and the Revolution / Soundtrack
October 20,Purple Rain,Prince and the Revolution / Soundtrack
