Name in English,Name in Turkish,Area (km2),Depth,Location (districts and/or provinces),Random_Column_1,Unused_2,Irrelevant_3
Lake Yaraşlı,Yaraşlı Gölü,16 km2,,Burdur,8MxkFmUI,,TnPTSXfQ
Lake Haçlı,Haçlı Gölü,16 km2,,Muş,g0oH44,,nZsmQzm
Lake Seyfe,Seyfe Gölü,15 km2,,Kırşehir,A9HCkuh,,XXNURkV
Lake Akyayan,Akyayan Gölü,15 km2,,,sL9UIv,,Cg5Vvz
Lake Hozapin,Hozapin Gölü,14 km2,,,FNBgnG,,loAc2iAY
Lake Arin,Arin Gölü,13 km2,,,xgU4hCAu,,fwaxCs
Lake Nemrut,Nemrut Gölü,12 km2,,Bitlis Province,DSQff8UP,,nDwH2
Lake Balık,Balık Gölü,12 km2,,,Hzu3maC,,hjT7k
Lake Büyükçekmece,Büyükçekmece Gölü,11 km2,,"Büyükçekmece, Istanbul",32YW0kAi,,zv01Fbvm
Lake Boluk,Boluk Gölü,11 km2,,,oBVfWpIH,,CXk6h0B
