Name in English,Name in Turkish,Area (km2),Depth,Location (districts and/or provinces)
Lake Salda,Salda Gölü,45 km2,184 m,Burdur
Lake Yay,Yay Gölü,37 km2,,Kayseri
Lake Akyatan,Akyatan Gölü,35 km2,,Adana
Lake Balık,Balık Gölü,34 km2,,Doğubeyazıt in Ağrı
Lake Marmara,Marmara Gölü,34 km2,,"Salihli, Gölmarmara in Manisa"
Lake Çöl,Çöl Gölü,32 km2,,Ankara
Lake Durusu (Lake Terkos),Durusu Gölü,25 km2,,İstanbul
Lake Karine,Karine Gölü,24 km2,,
Lake Tuzla,Tuzla Gölü,23 km2,,Tuzla
Lake Küçükçekmece,Küçükçekmece Gölü,16 km2,,"Küçükçekmece, İstanbul"
