Name in English,Name in Turkish,Area (km2),Depth,Location (districts and/or provinces),Extra_Data_1,Random_Column_2
Lake Van,Van Gölü,3755 km2,451 m,"Van, Bitlis",629,RwO6GO
Lake Tuz,Tuz Gölü,1500 km2,2 m,"Aksaray, Ankara, Konya",531,ZTIxnD
Lake Beyşehir,Beyşehir Gölü,656 km2,10 m,"Beyşehir in Konya, Isparta",256,yZq0LKIc
Lake Eğirdir,Eğirdir Gölü,482 km2,,Isparta,121,nYZul
Lake İznik,İznik Gölü,308 km2,,"İznik in Bursa, Yalova",347,md3ni
Lake Burdur,Burdur Gölü,200 km2,,"Burdur, Isparta",622,nBjSBhO
Lake Manyas,Manyas Gölü,166 km2,,Balıkesir,761,CpqswyjC
Lake Acıgöl,Acıgöl,153 km2,,"Denizli, Afyonkarahisar",854,PFE4Z
Lake Uluabat,Uluabat Gölü,134 km2,1–2 m,Bursa,344,jO3s8hMC
Lake Çıldır,Çıldır Gölü,115 km2,,"Ardahan, Kars",37,wpwmitGI
