Manufacturer,Model,first flight,max Payload (t),Cruise (km/h),max range (km),MTOW,Extra_Data_1,Random_Column_2
AVIC,Y-9,2008,25,650,"7,800",77,754,SxLY8SrH
AVIC,Y-20,2013,66,700,"7,800",220,656,QQgjm
Bell/Boeing,V-22 Osprey,1989,6.8,396,"1,627",27.4,437,r3z0sNz
Boeing,C-17 Globemaster III,1991,77.5,830,"4,482",265,781,1VDVqD
CASA,C-212 Aviocar,1971,2.8,315,"1,433",8,11,PV2GY
CASA/Indonesian Aerospace,CN-235,1983,5,509,"5,003",15.1,515,OjRIr5
CASA,C-295,1998,9.3,481,"5,630",23.2,655,NtfDaD
de Havilland Canada,C-7 Caribou,1958,3.6,348,"2,103",14.2,740,rD7W4pS
Douglas,C-47,1943,3,360,"2,600",10.5,682,3h6DL
Grumman,C-1 Trader,1952,1.6,462,"2,092",13.2,463,nxgCtzQZ
Grumman,C-2 Greyhound,1964,4.5,465,"2,400",24.7,617,r2I9b
Embraer,KC-390,2014,23,900,"6,200",72,155,reXlrNK
