Name,Pennant,Builder,Launched,Original name,Fate,Extra_Data_1,Extra_Data_2,Noise_Field_3
Wave Baron,A242,Furness Shipbuilding Company,19 February 1946,Empire Flodden,Scrapped in 1972,996,823,dhdpg
Wave Chief,A265,Harland and Wolff,30 August 1946,Empire Edgehill,Scrapped in 1974,883,596,qacrb
Wave Commander,A244,Furness Shipbuilding Company,21 April 1944,Empire Paladin,Scrapped in 1959,307,220,tmslDqd
Wave Conqueror,A245,Furness Shipbuilding Company,27 November 1943,Empire Law,Scrapped in 1960,330,178,pJreCOfv
Wave Duke,A246,Sir J. Laing & Sons Ltd,16 November 1944,Empire Mars,Scrapped in 1969,759,576,PTNZIE
Wave Emperor,A100,Furness Shipbuilding Company,16 October 1944,,Scrapped in 1966,110,738,aWmCxH
Wave Governor,A247,Furness Shipbuilding Company,30 November 1944,,Scrapped in 1960,684,97,OVdKE
Wave King,A182,Harland and Wolff,21 July 1944,,Scrapped in 1966,217,844,rvkhjN
Wave Knight,A249,Sir J. Laing & Sons Ltd,22 October 1945,Empire Naseby,Scrapped in 1964,823,689,PkqTpuLD
Wave Laird,A119,Sir J. Laing & Sons Ltd,3 April 1946,Empire Dunbar,Scrapped in 1970,467,1,jDSXuu
