Team,Constructor,Motorcycle,Tyres,No,Rider,Rounds
Rizla Suzuki MotoGP,Suzuki,Suzuki GSV-R,B,21,John Hopkins,All
Rizla Suzuki MotoGP,Suzuki,Suzuki GSV-R,B,71,Chris Vermeulen,All
Rizla Suzuki MotoGP,Suzuki,Suzuki GSV-R,B,64,Kousuke Akiyoshi,15
Repsol Honda Team,Honda,Honda RC211V,M,26,Dani Pedrosa,All
Repsol Honda Team,Honda,Honda RC211V,M,69,Nicky Hayden,All
Honda LCR,Honda,Honda RC211V,M,27,Casey Stoner,All
Pramac d'Antin MotoGP,Ducati,Ducati Desmosedici GP5,D,30,José Luis Cardoso,All
Pramac d'Antin MotoGP,Ducati,Ducati Desmosedici GP5,D,66,Alex Hofmann,"1–7, 10–11, 13–17"
Pramac d'Antin MotoGP,Ducati,Ducati Desmosedici GP5,D,22,Iván Silva,"8–9, 12"
Fortuna Honda,Honda,Honda RC211V,M,24,Toni Elías,"1–8, 10–17"
Fortuna Honda,Honda,Honda RC211V,M,33,Marco Melandri,All
Fortuna Honda,Honda,Honda RC211V,M,84,Michel Fabrizio,9
Ilmor SRT,Ilmor,Ilmor X3,M,8,Garry McCoy,16–17
