Year,Title,Role,Notes,Extra_Data_1
2005,The Upside of Anger,Executive Producer,Starring Kevin Costner and Joan Allen,480
2004,Beyond The Sea,Executive Producer,Starring Kevin Spacey,414
2004,The I Inside,Producer,,535
2003,Monster,Producer,Starring Charlize TheronAcademy Award for Best ActressIndependent Spirit Award for Best First Feature,349
2003,11:14,Executive Producer,,201
2003,The United States of Leland,Executive Producer,Starring Don Cheadle,771
2002,Extreme Ops,Executive Producer,,445
2002,FeardotCom,Executive Producer,,624
2001,The Musketeer,Executive Producer,,302
2001,The Body,Executive Producer,,93
2000,Love & Sex,Executive Producer,,84
