Year,Title,Role,Notes
1971,L'arciere di fuoco,Allen,
1971,"Ivanhoe, the Norman Swordsman",Ivanhoe,
1971,Pistol Packin' Preacher,Slim,
1968,Dead Men Don't Count,Johnny Dalton,
1968,Anzio,Wally Richardson,Directed by Edward Dmytryk
1968,All Out,Johnny,
1968,"The Young, the Evil, and the Savage",Richard Barrett,
1968,Un treno per Durango,Brown,
1967,Colpo doppio del camaleonte d'oro,Vittorio,
1967,No Killing Without Dollars,Laurence,
1967,Requiescant,George Ferguson,Also starring Pier Paolo Pasolini
