Year,Title,Role,Notes
1977,The Choirboys,Executive Producer,
1974,There is No 13,George Thomas,
1974,The Arena,Producer,Starred Damon's future wife Margaret Markov
1973,\Hannah," Queen of the Vampires\""""",Peter
1973,The Devil's Wedding Night,Karl Schiller,
1973,Little Mother,Riano,
1972,Byleth - il demone dell'incesto,Duke Lionello Shandwell,
1972,Great Treasure Hunt,Kansas Lee,
1972,I leoni di Pietroburgo,Eldar,
1972,Confessioni segrete di un convento di clausura,Domenico,
1972,They Call Him Veritas,Veritas,
