Year,Title,Role,Notes,Dummy_Col_1
1988,Bat*21,Co-Producer,,YKOhv
1988,Mac and Me,Executive Producer,,uZZCDcT
1987,The Lost Boys,Executive Producer,,FCaWJtF
1986,Flight of the Navigator,Executive Producer,,YFBPbSG
1986,Short Circuit,Executive Producer,,RGusAK
1986,8 Million Ways to Die,Executive Producer,Starring Jeff Bridges,PjCGqhGa
1986,9 1/2 Weeks,Producer,Starring Mickey Rourke and Kim BasingerDirected by Adrian Lyne,XNwuKYP
1986,The Clan of the Cave Bear,Executive Producer,,yjtKyX
1984,Metropolis,Sales Agent,Directed by Fritz Lang,ZIQlLMu
1984,The NeverEnding Story,Executive Producer,Directed by Wolfgang Petersen,lqhGYnN
1981,Das Boot,Executive Producer,Directed by Wolfgang PetersenNominated for Six Academy Awards,noDeic
