Year,Title,Role,Notes,Filler_1,Irrelevant_2
1962,The Longest Day,Pvt. Harris,Also starring Richard Burton and Sean Connery,wzWwDU,gD2BTBA
1962,Beauty and the Beast,Eduardo,,rmUUm,ouGnECn
1962,Peccati d'estate,Dr. Gianni Orgei,,uvuGT,10SDZzVr
1960,House of Usher,Philip Winthrop,Won Golden Globe Award for Most Promising NewcomerAlso starring Vincent PriceDirected by Roger CormanScreenplay by Richard Matheson,YcrMjm,dMxHEVj
1960,This Rebel Breed,Frank Serano,,ZdCzjGGt,O5fPplR
1958,Party Crashers,Twig Webster,,EShSuS,YHDun
1958,Life Begins at 17,Russ Lippincott,,aUzNsI,KsADBLZC
1957,Young and Dangerous,Tommy Price,,HmMJzWI,188z4hT6
1956,Between Heaven and Hell,Pvt. Terry Co. G,,INYXQZPy,nV0Svv
1956,Screaming Eagles,Pvt. Lambert,,lIhDj,jf2HZD
1956,Inside Detroit,Gregg Linden,,nFmAM,OffOv
