Year,Title,Role,Notes,Extra_Data_1,Noise_Field_2,Filler_3
2014,And So It Goes,Producer,Starring Michael Douglas and Diane Keaton,614,RckAsuY,IsBYVV
2013,Lone Survivor,Executive Producer,Starring Mark Wahlberg,55,AsFmc,mzXepLr
2013,2 Guns,Executive Producer,Starring Denzel Washington and Mark Wahlberg,440,tsjUxpk,IKXnP
2012,Universal Soldier: Day of Reckoning,Executive Producer,Starring Jean-Claude Van Damme and Dolph Lundgren,792,seEGdIy,OakCAIed
2011,Flypaper,Producer,Starring Patrick Dempsey and Ashley Judd,710,fibjcpS,rcTLaMZ
2011,The Ledge,Producer,"Starring Charlie Hunnam, Liv Tyler, and Terrence Howard",714,zPSmATDR,CRRHvHH
2009,Universal Soldier: Regeneration,Executive Producer,Starring Jean-Claude Van Damme and Dolph Lundgren,320,HYdYT,smpYz
2009,Beyond A Reasonable Doubt,Producer,Starring Michael Douglas,180,CpNIzEs,cgdRuO
2008,It's Alive,Executive Producer,,112,BilgYP,QvNEGznD
2007,Captivity,Producer,,600,wiwlz,vqwZu
2006,O Jerusalem,Producer,,51,kVGPRk,ivKhQIlZ
