Year,Title,Role,Notes
1966,Johnny Yuma,Johnny Yuma,
1966,Johnny Oro,Johnny Oro/Ringo,Directed by Sergio Corbucci
1966,How Do I Love You?,Luis,
1965,"Secret Agent 777\"",Dr. Bardin""",,
1964,Son of Cleopatra,El Kebir,
1964,I cento cavalieri,Don Fernando Herrera y Menendez,
1963,The Tyrant of Castile,Pietro I: Re di Castiglia,
1963,Black Sabbath,Vladimire d'Urfe,Also starring Boris KarloffDirected by Mario Bava
1963,The Shortest Day,Un ufficiale austriaco,Directed by Sergio Corbucci
1963,The Young Racers,Stephen Children,Directed by Roger Corman
1962,The Reluctant Saint,Aldo,Directed by Edward Dmytryk
