Year,Title,Role,Notes,Filler_1
1999,Eye of the Beholder,Executive Producer,Starring Ewan MacGregor,GATbpIGr
1999,A Dog of Flanders,Executive Producer,,tIznQJFG
1997,Deceiver,Wayland's FatherExecutive Producer,,uaEuH
1997,The Blackout,Executive Producer,,qvLjh
1996,The Winner,Executive Producer,,flggP
1994,"\The Jungle Book\""""",Executive Producer,,nQFTsqb
1993,Stalingrad,Executive Producer,,GqngfXDw
1991,Diary of a Hitman,Executive Producer,,PowVTsQ
1990,"Vietnam, Texas",Executive Producer,,hLUbFUbs
1989,Wild Orchid,Producer,Starring Mickey Rourke,ClzPPl
1988,High Spirits,Executive Producer,,BZQhF
