Year,Winner,Second,Third,Starters,Noise_Field_1,Dummy_Col_2,Noise_Field_3
2013,New Year's Day,Havana,Strong Mandate,13,wMYBxf,gmFThnIo,gWKEj
2012,Shanghai Bobby,He's Had Enough,Capo Bastone,9,BBjeZkp,UoWLt,URBoZ
2011,Hansen,Union Rags,Creative Cause,13,BkgdRXz,fmpqYop,gfvQo
2010,Uncle Mo,Boys at Toscanova,Rogue Romance,11,MlZrXfv,ewOLya,AuXDOy
2009,Vale of York,Lookin at Lucky,Noble's Promise,13,HyWrq,JVViGmq,KBDJAMr
2008,Midshipman,Square Eddie,Street Hero,12,GUKPTDVE,WsVZHHZj,aaMOmenE
2007,War Pass,Pyro,Kodiak Kowboy,11,NhbtpPt,qFBkk,ubmksp
2006,Street Sense,Circular Quay,Great Hunter,14,eFqnMV,LYOEOxhh,NvUFjSCv
2005,Stevie Wonderboy,Henny Hughes,First Samurai,14,qrjMXfEi,nckXZLWK,KEWMi
2004,Wilko,Afleet Alex,Sun King,8,XKXASPoh,bxNLyy,gJEsN
