Alumni Chapters and Clubs,Location,Founding Date,Years Active,Province
Zeta Mu *,"Lincoln, NE","February 22, 1947",,
Zeta Nu *,"Ann Arbor, MI",December 1948,,
Zeta Xi *,"Oakland County, MI","July 7, 1953",,
Zeta Omicron,"Akron-Kent, OH","May 27, 1956",1956–present,Alpha North
Zeta Pi *,"Columbia, SC","December 7, 1958",,
Zeta Rho *,"Kearney, NE","March 7, 1959",,
Zeta Sigma,"Cleveland, OH","May 15, 1960",,Alpha North
Zeta Tau *,"St. Petersburg, FL","December 10, 1960",,
Zeta Upsilon *,"Washington, D.C.","December 18, 1961",,
Zeta Phi *,"Beaumont, TX","March 25, 1962",,
Zeta Chi,"Dayton, OH","February 14, 1967",1967–present,Alpha South
