Alumni Chapters and Clubs,Location,Founding Date,Years Active,Province
Zeta Psi *,"Philadelphia, PA","June 4, 1967",,
Zeta Omega *,"Spartanburg-Greenville, SC","April 12, 1969",,
Eta Alpha *,"Pueblo, CO","May 25, 1969",,
Eta Beta *,"Brownwood, TX","November 14, 1969",,
Eta Gamma *,"Ft. Collins, Co","March 7, 1970",,
Eta Delta *,"San Antonio, TX","February 20, 1971",,
Eta Epsilon *,"Atlanta, GA","February 23, 1971",,
Eta Zeta *,"Buffalo, NY","May 2, 1971",,
Eta Eta *,"Jacksonville, AL","May 13, 1972",,
Eta Theta *,"Dallas, TX","November 9, 1975",,
Eta Iota *,"Huntsville, AL","September 24, 1978",,
