Alumni Chapters and Clubs,Location,Founding Date,Years Active,Province
Eta Kappa *,"Phoenix, AZ","January 26, 1980",,
Eta Lambda *,"Lithonia, GA","May 18, 2003",2004–2011,Iota
Eta Mu *,"Atlanta, GA","July 18, 2004",2004-2011,Iota
Champaign-Urbana Alumni Club,"Chambaign-Urbana, IL",,,Delta
Lincoln Alumni Club,"Lincoln, NE",,,Theta
Kearney Alumni Club,"Kearney, NE",,,Theta
Georgia Alumni Club *,"Decatur, GA",,?-2012,Iota
Frostburg Alumni Club,"Frostburg, MD",,,Lambda
Cincinnati Alumni Club *,"Cincinnati, OH",,?-2010,Eta South
Atlanta Alumni Club *,"Atlanta, GA",,?-2012,Iota
Middle Tennessee Alumni Club,"Murfreesboro, TN",2013,2013-present,Zeta West
