Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community,Irrelevant_1,Filler_2,Random_Column_3
St. Peter,New Britain,New Britain,Hartford,1873,German-French,Jx6DHoy,dxddJJOS,JOPqpY
St. Peter,Torrington,Litchfield,Waterbury,1910,Italian,AkdoF,XfndqwLK,fNzQMJ8
St. Peter Claver,West Hartford,Suburban Hartford,Hartford,1966,None,6dvCt,YFVKQ,MqsKypi
SS. Peter and Paul,Wallingford,Meriden,New Haven,1924,None,2NzCK,gttMoB,VRMZMg
SS. Peter and Paul,Waterbury,Waterbury,Waterbury,1920,None,glIvq5i,VAQxqJV,35ySyn
St. Philip,East Windsor,Enfield,Hartford,1959,None,BR3srO,plMewzs,HMXKz
St. Pius X,Wolcott,Waterbury,Waterbury,1955,None,RCPNH,sDLCmEL,UpgBnZc
Resurrection,Wallingford,Meriden,New Haven,1963,None,RfPxD8,mjDlZ,sbB5Ct
St. Rita,Hamden,Hamden-North Haven,New Haven,1928,Italian,CzHX8h2x,MaxNlkj,5ZWucqJ
St. Robert Bellarmine,Windsor Locks,Enfield,Hartford,1962,None,cQoIPFJ,nqtML,NB4yItJQ
St. Rose,East Hartford,Manchester,Hartford,1920,None,TB1OV,aucQtS,eIpN0
St. Rose of Lima,Meriden,Meriden,New Haven,1848,None,BxTtP,INBsT,AIib0XW
St. Rose of Lima,New Haven,New Haven,New Haven,1907,None,mlT2T,uznyRH,3PE3J
Sacred Heart,Bloomfield,Farmington Valley,Hartford,1878,None,sM9yi7,OIHGQPe,7n0UJ4sr
Sacred Heart,East Berlin (Berlin),New Britain,Hartford,1896,None,rzYw1,oxLWln,gaAeoVO
Sacred Heart,Hartford,Hartford,Hartford,1872,Spanish,tUzDfB,RtihCgc,Ltppf
Sacred Heart,Kent,Litchfield,Waterbury,1970,None,XvvB8Y4,COWCSB,7mEg2d
Sacred Heart,New Britain,New Britain,Hartford,1894,Polish,DpgNcz,mYNMrA,2gGD8IiA
Sacred Heart,New Haven,New Haven,New Haven,1876,None,t52Eo,YlIHQfi,0WXgm
Sacred Heart,Southbury,Suburban Waterbury,Waterbury,1884,None,gvLPL,RwbSJV,MgBEk
Sacred Heart,Suffield,Enfield,Hartford,1884,None,gMpq1t,fIcUo,S8P6k
