Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
St. Christopher,East Hartford,Manchester,Hartford,1965,None
St. Clare,East Haven,East Shore Line,New Haven,1947,None
Corpus Christi,Wethersfield,Suburban Hartford,Hartford,1941,None
SS. Cyril and Methodius,Hartford,Hartford,Hartford,1902,Polish
St. Dominic,Southington,Meriden,New Haven,1971,None
St. Donato,New Haven,New Haven,New Haven,1915,Italian
St. Dunstan,Glastonbury,Manchester,Hartford,1971,None
St. Elizabeth,Branford,East Shore Line,New Haven,1966,None
St. Elizabeth Seton,Rocky Hill,Suburban Hartford,Hartford,1985,None
Church of the Epiphany,Cheshire,Naugatuck-Cheshire,Waterbury,1967,None
St. Frances Cabrini,North Haven,Hamden-North Haven,New Haven,1967,None
St. Francis,New Haven,New Haven,New Haven,1868,None
St. Francis of Assisi,Naugatuck,Naugatuck-Cheshire,Waterbury,1866,None
St. Francis of Assisi,New Britain,New Britain,Hartford,1941,None
St. Francis of Assisi,South Windsor,Manchester,Hartford,1941,None
St. Francis of Assisi,Torrington,Litchfield,Waterbury,1877,None
St. Francis Xavier,New Milford,Suburban Waterbury,Waterbury,1871,None
St. Francis Xavier,Waterbury,Waterbury,Waterbury,1896,None
St. Gabriel,Milford,West Shore Line,New Haven,1946,None
St. Gabriel,Windsor,Farmington Valley,Hartford,1894,None
St. George,Guilford,East Shore Line,New Haven,1870,None
St. Gertrude,Windsor,Farmington Valley,Hartford,1947,None
