Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
Sacred Heart,Torrington,Litchfield,Waterbury,1910,Slovak
Sacred Heart,Wethersfield,Suburban Hartford,Hartford,1876,None
Sacred Heart-Sagrado Corazon,Waterbury,Waterbury,Waterbury,1885,None
St. Stanislaus,Bristol,Bristol,Waterbury,1919,Polish
St. Stanislaus,Meriden,Meriden,New Haven,1891,Polish
St. Stanislaus,New Haven,New Haven,New Haven,1901,Polish
St. Stanislaus Kostka,Waterbury (Union City),Waterbury,Waterbury,1913,Polish
St. Stephen,Hamden,Hamden-North Haven,New Haven,1953,None
St. Teresa of Avila,Woodbury,Suburban Waterbury,Waterbury,1902,None
St. Therese,Branford,East Shore Line,New Haven,1947,None
St. Therese,Granby,Farmington Valley,Hartford,1958,None
St. Therese,North Haven,Hamden-North Haven,New Haven,1925,None
St. Thomas,Southington,Meriden,New Haven,1860,None
St. Thomas,Thomaston,Suburban Waterbury,Waterbury,1869,None
St. Thomas Becket,Cheshire,Naugatuck-Cheshire,Waterbury,1971,None
St. Thomas of Villanova,Goshen,Litchfield,Waterbury,1880,None
St. Thomas the Apostle,Oxford,Ansonia-Derby,Waterbury,1966,None
St. Thomas the Apostle,West Hartford,Suburban Hartford,Hartford,1921,None
St. Timothy,West Hartford,Suburban Hartford,Hartford,1958,None
St. Vincent de Paul,East Haven,East Shore Line,New Haven,1915,None
St. Vincent Ferrer,Naugatuck,Naugatuck-Cheshire,Waterbury,1975,None
