Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
Our Lady of Lourdes,Waterbury,Waterbury,Waterbury,1899,Italian
Our Lady of Mercy,Plainville,Bristol,Waterbury,1881,None
Our Lady of Mt. Carmel,Hamden,Hamden-North Haven,New Haven,1869,None
Our Lady of Mt. Carmel,Meriden,Meriden,New Haven,1894,Italian
Our Lady of Mt. Carmel,Waterbury,Waterbury,Waterbury,1923,Italian
Our Lady of Peace,East Hartford,Manchester,Hartford,1971,None
Our Lady of Perpetual Help,Washington Depot (Washington),Suburban Waterbury,Waterbury,1893,None
Our Lady of Pompeii,East Haven,East Shore Line,New Haven,1941,None
Our Lady of Sorrows,Hartford,Hartford,Hartford,1895,None
Our Lady of the Lakes,New Milford,Suburban Waterbury,Waterbury,1990,None
Our Lady of Victory,West Haven,West Shore Line,New Haven,1935,None
St. Patrick,Collinsville (Canton),Farmington Valley,Hartford,1856,None
St. Patrick,Enfield,Enfield,Hartford,1866,None
St. Patrick,Farmington,Farmington Valley,Hartford,1871,None
St. Patrick,Roxbury,Suburban Waterbury,Waterbury,1885,None
St. Patrick,Waterbury,Waterbury,Waterbury,1880,None
St. Patrick-St. Anthony,Hartford,Hartford,Hartford,1829,None
St. Paul,Glastonbury,Manchester,Hartford,1954,None
St. Paul,Kensington (Berlin),New Britain,Hartford,1878,None
St. Paul,West Haven,West Shore Line,New Haven,1916,None
St. Peter,Hartford,Hartford,Hartford,1859,None
