Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
St. Lawrence O'Toole,Hartford,Hartford,Hartford,1885,None
St. Leo the Great,Waterbury,Waterbury,Waterbury,1974,None
St. Louis,West Haven,West Shore Line,New Haven,1886,French and Territorial
St. Lucy,Waterbury,Waterbury,Waterbury,1926,Italian
St. Luke,Hartford,Hartford,Hartford,1930,None
St. Margaret,Madison,East Shore Line,New Haven,1937,None
St. Margaret,Waterbury,Waterbury,Waterbury,1910,None
St. Margaret Mary,South Windsor,Manchester,Hartford,1961,None
St. Maria Goretti,Wolcott,Waterbury,Waterbury,1973,None
St. Mark the Evangelist,West Hartford,Suburban Hartford,Hartford,1942,None
St. Martha,Enfield,Enfield,Hartford,1961,None
St. Martin de Porres,New Haven,New Haven,New Haven,1942,None
St. Mary,Branford,East Shore Line,New Haven,1868,None
St. Mary,East Hartford,Manchester,Hartford,1873,None
St. Mary,Lakeville (Salisbury),Litchfield,Waterbury,1874,None
St. Mary,Meriden,Meriden,New Haven,1890,German
St. Mary,Milford,West Shore Line,New Haven,1874,None
St. Mary,New Britain,New Britain,Hartford,1848,None
St. Mary Priory,New Haven,New Haven,New Haven,1832,None
St. Mary,Newington,Suburban Hartford,Hartford,1924,None
St. Mary,Simsbury,Farmington Valley,Hartford,1921,None
St. Mary,Torrington,Litchfield,Waterbury,1919,Polish
