Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
St. Mary,Union City (Naugatuck),Naugatuck-Cheshire,Waterbury,1907,None
St. Mary,Unionville (Farmington),Farmington Valley,Hartford,1874,None
St. Mary,Windsor Locks,Enfield,Hartford,1852,None
St. Mary Magdalen,Oakville (Watertown),Suburban Waterbury,Waterbury,1900,None
Mary Our Queen,Plantsville (Southington),Meriden,New Haven,1961,None
St. Mary the Immaculate Conception,Derby,Ansonia-Derby,Waterbury,1851,None
St. Matthew,Forestville (Bristol),Bristol,Waterbury,1891,None
St. Maurice,New Britain,New Britain,Hartford,1946,None
St. Michael,Beacon Falls,Ansonia-Derby,Waterbury,1899,None
St. Michael,Hartford,Hartford,Hartford,1900,None
St. Michael,New Haven,New Haven,New Haven,1889,Italian
St. Michael,Waterbury,Waterbury,Waterbury,1897,None
St. Michael the Archangel,Derby,Ansonia-Derby,Waterbury,1905,Polish
St. Monica,Northford (North Branford),Hamden-North Haven,New Haven,1964,None
Most Holy Trinity,Wallingford,Meriden,New Haven,1869,None
Church of the Nativity,Bethlehem,Suburban Waterbury,Waterbury,1916,None
Our Lady of Fatima,Hartford,Hartford,Hartford,1958,Portuguese
Our Lady of Fatima,Waterbury,Waterbury,Waterbury,1971,Portuguese
Our Lady of Fatima,Yalesville (Wallingford,Meriden,New Haven,1956,None
Our Lady of Grace,Bantam,Litchfield,Waterbury,1970,None
Our Lady of Loreto,Waterbury,Waterbury,Waterbury,1971,Portuguese
