Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
St. Augustine,North Branford,East Shore Line,New Haven,1941,None
St. Augustine,Seymour,Ansonia-Derby,Waterbury,1866,None
St. Augustine,South Glastonbury (Glastonbury),Manchester,Hartford,1877,None
St. Barnabas,North Haven,Hamden-North Haven,New Haven,1922,None
St. Bartholomew,Manchester,Manchester,Hartford,1958,None
St. Bernadette,New Haven,New Haven,New Haven,1938,None
St. Bernard,Enfield,Enfield,Hartford,1870,None
St. Bernard,Sharon,Litchfield,Waterbury,1885,None
St. Bernard,Tariffville (Simsbury),Farmington Valley,Hartford,1878,None
Blessed Sacrament,East Hartford,Manchester,Hartford,1948,None
Blessed Sacrament,Hamden,Hamden-North Haven,New Haven,1939,None
Blessed Sacrament,Waterbury,Waterbury,Waterbury,1911,None
St. Boniface,New Haven,New Haven,New Haven,1868,German
St. Brendan,New Haven,New Haven,New Haven,1913,None
St. Bridget,Cheshire,Naugatuck-Cheshire,Waterbury,1871,None
St. Bridget,Cornwall Bridge (Sharon),Litchfield,Waterbury,1883,None
St. Bridget,Manchester,Manchester,Hartford,1870,None
St. Brigid,West Hartford,Suburban Hartford,Hartford,1919,None
St. Casimir,Terryville (Plymouth),Bristol,Waterbury,1906,None
St. Catherine,Broad Brook (East Windsor),Enfield,Hartford,1886,None
St. Catherine of Siena,West Simsbury (Simsbury),Farmington Valley,Hartford,1971,None
Christ the Redeemer,Milford,West Shore Line,New Haven,1966,None
