Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
Good Shepherd,Seymour,Ansonia-Derby,Waterbury,1967,None
St. Gregory the Great,Bristol,Bristol,Waterbury,1957,None
St. Hedwig,Union City (Naugatuck),Naugatuck-Cheshire,Waterbury,1906,Polish
St. Helena,West Hartford,Suburban Hartford,Hartford,1966,None
Holy Angels,Meriden,Meriden,New Haven,1887,None
Holy Cross,New Britain,New Britain,Hartford,1927,Polish
Holy Family,Enfield,Enfield,Hartford,1965,None
Holy Infant,Orange,West Shore Line,New Haven,1952,None
Holy Rosary,Ansonia,Ansonia-Derby,Waterbury,1908,Italian
Holy Spirit,Newington,Suburban Hartford,Hartford,1964,None
Holy Trinity,Hartford,Hartford,Hartford,1900,Lithuanian
Immaculate Conception,New Hartford,Litchfield,Waterbury,1869,None
Immaculate Conception,Norfolk,Litchfield,Waterbury,1889,None
Immaculate Conception,Southington,Meriden,New Haven,1915,None
Immaculate Conception,Terryville (Plymouth),Bristol,Waterbury,1882,None
Basilica of the Immaculate Conception,Waterbury,Waterbury,Waterbury,1847,None
Immaculate Heart of Mary,Harwinton,Litchfield,Waterbury,1956,None
Incarnation,Wethersfield,Suburban Hartford,Hartford,1963,None
St. Isaac Jogues,East Hartford,Manchester,Hartford,1964,None
St. James,Manchester,Manchester,Hartford,1874,None
St. James,Rocky Hill,Suburban Hartford,Hartford,1880,None
St. Jerome,New Britain,New Britain,Hartford,1958,None
