Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
St. Joan of Arc,Hamden,Hamden-North Haven,New Haven,1971,None
St. John Fisher,Marlborough,Manchester,Hartford,1972,None
St. John of the Cross,Middlebury,Suburban Waterbury,Waterbury,1904,None
St. John the Baptist,New Haven,New Haven,New Haven,1893,None
St. John the Evangelist,New Britain,New Britain,Hartford,1916,None
St. John the Evangelist,Watertown,Suburban Waterbury,Waterbury,1878,None
St. John Vianney,West Haven,West Shore Line,New Haven,1965,None
St. Joseph,Ansonia,Ansonia-Derby,Waterbury,1925,Polish
St. Joseph,Bristol,Bristol,Waterbury,1864,None
St. Joseph,Canaan,Litchfield,Waterbury,1920,None
Cathedral of St. Joseph,Hartford,Hartford,Hartford,1872,None
St. Joseph,Meriden,Meriden,New Haven,1900,None
St. Joseph,New Britain,New Britain,Hartford,1896,None
St. Joseph,New Haven,New Haven,New Haven,1900,None
St. Joseph,Poquonock (Windsor),Farmington Valley,Hartford,1874,None
St. Joseph,Suffield,Enfield,Hartford,1916,Polish
St. Joseph,Waterbury,Waterbury,Waterbury,1894,Lithuanian
St. Joseph,Winsted (Winchester),Litchfield,Waterbury,1853,None
St. Jude,Derby,Ansonia-Derby,Waterbury,1961,None
St. Justin,Hartford,Hartford,Hartford,1924,None
St. Laurent,Meriden,Meriden,New Haven,1880,French
St. Lawrence,West Haven,West Shore Line,New Haven,1886,None
