Name,Elected,Term began,Term ended
Henry G. Struve,"elected July 10, 1882and July 9, 1883",1882,1884
John Leary,"elected July 14, 1884",1884,1885
Henry Yesler,"elected July 13, 1885",1885,1886
William H. Shoudy,"elected July 12, 1886",1886,1887
Dr. Thomas T. Minor,"elected July 11, 1887",1887,1888
Robert Moran,"elected July 9, 1888and July 8, 1889",1888,1890
Harry White,"elected July 14, 1890resigned under pressure November 30, 1891.",1890,1891
George W. Hall,"appointed December 9, 1891",1891,1892
James T. Ronald,"elected March 8, 1892",1892,1894
Byron Phelps,"elected March 12, 1894",1894,1896
Frank D. Black,"elected March 9, 1896resigned after three weeks in office",1896,1896
W. D. Wood,"appointed April 6, 1896resigned July 1897",1896,1897
