Name,Elected,Term began,Term ended
Thomas J. Humes,"appointed November 19, 1897and elected March 13, 1900",1897,1904
Richard A. Ballinger,"elected March 8, 1904",1904,1906
William Hickman Moore,"elected March 6, 1906",1906,1908
John F. Miller,"elected March 3, 1908",1908,1910
Hiram C. Gill,"elected March 8, 1910recalled February 9, 1911",1910,1911
George W. Dilling,"appointed February 10, 1911[citation needed]",1912,
George F. Cotterill,"elected March 5, 1912",1912,1914
Hiram C. Gill,"elected March 3, 1914",1914,1918
Ole Hanson,"elected March 5, 1918resigned August 28, 1919 after several months out of town",1918,1919
C. B. Fitzgerald,"appointed August 28, 1919",1919,1920
Hugh M. Caldwell,"elected March 2, 1920",1920,1922
