Name,Elected,Term began,Term ended
Edwin J. Brown,"elected May 2, 1922and March 4, 1924",1922,1926
Bertha Knight Landes,"elected March 9, 1926",1926,1928
Frank E. Edwards,"elected March 6, 1928and March 4, 1930recalled July 13, 1931",1928,1931
Robert H. Harlin,"appointed July 14, 1931",1931,1932
John F. Dore,"elected March 8, 1932",1932,1934
Charles L. Smith,"elected March 6, 1934",1934,1936
John F. Dore,"elected March 3, 1936became gravely ill and was relieved of office April 13, 1938, already a lame duck after the 1938 election. He died five days later.",1936,1938
Arthur B. Langlie,"elected March 8, 1938appointed to take office early, April 27, 1938, after Dore's death.elected March 5, 1940resigned January 11, 1941, to become Governor of Washington",1938,1941
John E. Carroll,"appointed January 27, 1941",1941,1941
Earl Millikin,"elected March 4, 1941",1941,1942
William F. Devin,"elected March 3, 1942, March 7, 1944, March 5, 1946, and March 2, 1948",1942,1952
